1;Oficina comercial;Bahia Blanca;Alsina 35;Bahia Blanca;Buenos Aires;Venta de equipos;Cambio de equipos;Atencion clientes;;;-38.7177301;-62.2638319;Lunes a Viernes de 9 a 13 y 15 a 19;Alsina 35, Bahía Blanca, Buenos Aires;8
2;Oficina comercial;Avellaneda;Av. Mitre 425;Avellaneda;Buenos Aires;Venta de equipos;Cambio de equipos;Atencion clientes;Experiencia Black;;-34.6597844;-58.3685712;Lunes a Viernes de 9 a 18;Av Bartolomé Mitre 425, Avellaneda, Buenos Aires;8
3;Oficina comercial;Retiro;Reconquista 1098;Capital Federal;Buenos Aires;Venta de equipos;Cambio de equipos;Atencion clientes;Experiencia Black;;-34.5950469;-58.3732532;Lunes a Viernes de 9 a 18;Reconquista 1098, Buenos Aires, Capital Federal;8
4;Oficina comercial;Buenos Aires;Av. Corrientes 566;Capital Federal;Buenos Aires;Venta de equipos;Cambio de equipos;Atencion clientes;Experiencia Black;;-34.6033147;-58.3747357;Lunes a Viernes de 9 a 18;Av Corrientes 566, Buenos Aires, Capital Federal;8
5;Oficina comercial;Barrio Norte;Av. Callao 1033;Capital Federal;Buenos Aires;Venta de equipos;Cambio de equipos;Atencion clientes;Experiencia Black;;-34.5967612;-58.3932051;Lunes a Viernes de 9 a 18;Av Callao 1033, Buenos Aires, Capital Federal;8
6;Oficina comercial;Caballito;Av. Rivadavia 5263;Capital Federal;Buenos Aires;Venta de equipos;Cambio de equipos;Atencion clientes;Experiencia Black;;-34.6197590;-58.4398157;Lunes a Viernes de 9 a 18;Av Rivadavia 5263, Buenos Aires, Capital Federal;8
7;Oficina comercial;Liniers;Av. Rivadavia 11150;Capital Federal;Buenos Aires;Venta de equipos;Cambio de equipos;Atencion clientes;Experiencia Black;;-34.6389149;-58.5218741;Lunes a Viernes de 9 a 18;Av Rivadavia 11150, Buenos Aires, Capital Federal;8
8;Oficina comercial;Soho;Honduras 4748;Capital Federal;Buenos Aires;Venta de equipos;Cambio de equipos;;Experiencia Black;;-34.5904292;-58.4275831;Lunes a Sabados de 11 a 20;Honduras 4748, Buenos Aires, Capital Federal;8
9;Oficina comercial;Nuñez;Av. Libertador 6902;Capital Federal;Buenos Aires;Venta de equipos;Cambio de equipos;Atencion clientes;;;-34.5487002;-58.4550539;Lunes a Viernes de 9 a 18;Av Del Libertador 6902, Buenos Aires, Capital Federal;8
10;Oficina comercial;La Plata;Calle 8 633;La Plata;Buenos Aires;Venta de equipos;Cambio de equipos;Atencion clientes;Experiencia Black;;-34.9122755;-57.9556052;Lunes a Viernes de 9 a 18;Calle 8 633, La Plata, Buenos Aires;8
11;Oficina comercial;Lomas de Zamora;Hipólito Yrigoyen 8613;Lomas de Zamora;Buenos Aires;Venta de equipos;Cambio de equipos;Atencion clientes;Experiencia Black;;-34.7566321;-58.4016820;Lunes a Viernes de 9 a 18;Av Pavón 8613, Lomas de Zamora, Buenos Aires;8
